post_tokens,toxic_tokens,post_label
"['there', 'are', '<number>', 'million', 'black', 'kids', 'in', 'the', 'us', 'living', 'in', 'poverty', 'and', 'democrats', 'still', 'choose', 'illegal', 'immigrants', 'first']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['scorpio', 'niggas', 'are', 'not', 'to', 'be', 'fuck', 'with', 'you', 'have', 'to', 'be', 'built', 'for', 'that', 'shit', 'and', 'apryl', 'is', 'not', '😂']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['people', 'who', 'never', 'planned', 'to', 'vote', 'conservative', 'want', 'kellieleitch', 'to', 'withdraw', 'from', 'the', 'conservativeparty', 'leadership', 'race', 'because', 'she', 'wants', 'to', 'ensure', 'that', 'immigrants', 'to', 'canada', 'do', 'not', 'hold', 'barbaric', 'values', 'so', 'that', 'they', 'do', 'not', 'massacre', 'people', 'like', 'what', 'happened', 'in', 'the', 'quebeccitymosqueattack', 'got', 'it']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'marry', 'my', 'cousin', 'she', 'also', 'needs', 'citizenship', 'two', 'undocumented', 'immigrants', 'equal', 'a', 'citizen', 'it', 'is', 'basic', 'math']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['ion', 'hang', 'wit', 'bitches', 'who', 'niggas', 'are', 'insecure']","[0, 0, 0, 1, 0, 0, 0, 0]",offensive
"['fox', 'news', 'online', 'is', 'stating', 'that', 'white', 'supremacists', 'caused', 'violence', 'in', 'charlottesville', 'implying', 'that', 'president', 'trump', 'has', 'decried', 'white', 'nationalism']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['i', 'hate', 'mlk', 'and', 'every', 'civil', 'rights', 'faggot', 'february', 'the', 'one', 'month', 'coons', 'visit', 'the', 'library', 'bunch', 'o', 'non', 'reading', 'shits']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['the', 'queers', 'and', 'lezzies', 'are', 'overstepping', 'their', 'boundary', 'which', 'ends', 'at', 'the', 'closet', 'threshold']","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['jews', 'created', 'communism', '<number>', 'million', 'stupid', 'morons', 'voted', 'for', 'the', 'commie', 'kike', 'sanders']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",hatespeech
"['well', 'this', 'is', 'good', 'for', 'men', 'they', 'can', 'allow', 'the', 'trad', 'women', 'into', 'their', 'gym', 'and', 'it', 'will', 'be', 'easier', 'for', 'them', 'to', 'connect']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['my', 'cat', 'is', 'more', 'intelligent', 'and', 'capable', 'of', 'feeling', 'human', 'emotions', 'than', 'a', 'nigger']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",hatespeech
"['match', '<number>', 'a', 'nigger', 'wins', 'a', 'championship', 'match', '<number>', 'a', 'nigger', 'wins', 'the', 'battle', 'royal', 'now', '<number>', 'niggers', 'are', 'singing', 'fuck', 'this', 'whole', 'thing', 'im', 'gonna', 'play', 'gta5', 'fuck', 'wrestlemania', '😡']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['king', 'sobieski', 'with', 'his', '<number>', 'k', 'polish', 'soldiers', 'defeated', '<number>', 'k', 'arabs', 'near', 'vienna', 'we', 'will', 'stop', 'em', 'again', 'cuz', 'the', 'rotten', 'west', 'lost', 'its', 'balls']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['these', 'hoes', 'so', 'worsome']","[0, 1, 0, 0]",offensive
"['see', 'there', 'him', 'and', 'then', 'there', 'the', 'rest', 'of', 'you', 'niggers']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'i', '’', 'm', 'hearing', 'the', 'greenhorns', 'are', 'confident', 'tomorrow', 'kicker', 'saying', 'your', 'lads', 'only', 'scraped', 'past', 'the', 'reds', 'etc', 'can', '’', 't', 'see', 'it', 'myself']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['wow', 'i', 'love', 'this', 'premier', 'content', 'of', 'you', 'calling', 'people', 'faggots', 'all', 'day', 'it', 'a', 'clear', 'sign', 'of', 'intellectual', 'dominance']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['the', 'muzzie', 'looks', 'miserable', 'and', 'ugly']","[0, 1, 0, 0, 0, 0]",hatespeech
"['most', 'people', 'have', 'no', 'clue', 'what', 'love', 'is', 'and', 'use', 'for', 'anything', 'i', 'love', 'my', 'cat', 'love', 'means', 'wanting', 'the', 'best', 'for', 'someone', 'and', 'using', 'the', 'word', 'in', 'reference', 'to', 'queers', 'and', 'trans', 'is', 'totally', 'offensive']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', '<user>', 'illegal', 'immigrant', 'muslims', 'hindu', 'sikh', 'jain', 'buddhist', 'christian', 'and', 'yazidi', 'refugees', 'should', 'be', 'granted', 'asylum', 'and', 'citizenship', 'muslims', 'can', 'and', 'should', 'seek', 'refugee', 'status', 'in', 'pakistan', 'bangladesh', 'and', 'other', 'islamic', 'countries']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['we', 'need', 'to', 'make', 'some', 'remakes', 'of', 'old', 'films', 'and', 'replace', 'classical', 'music', 'with', 'rap', 'music', 'and', 'be', 'sure', 'and', 'have', 'black', 'men', 'making', 'love', 'to', 'white', 'women', 'cause', 'that', 'will', 'get', 'all', 'the', 'black', 'men', 'to', 'come', 'and', 'watch', 'the', 'ghetto', 'movies']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",offensive
"['not', 'only', 'is', 'it', 'the', 'halloween', 'month', 'but', 'also', 'domestic', 'violence', 'awareness', 'month', 'if', 'you', 'or', 'someone', 'you', 'know', 'is', 'experiencing', 'dv', 'check', 'out', '<user>']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', '<user>', '<user>', 'no', 'not', 'wrong', 'the', '<number>', 'defense', 'for', 'not', 'legislating', 'assault', 'weapons', 'is', 'the', 'militia', 'fantasy', 'the', 'rambo', 'phallacy', 'that', 'some', 'redneck', 'and', 'his', 'ar', '<number>', 'are', 'gonna', 'take', 'out', 'the', 'army', 'navy', 'air', 'force', 'etc', 'if', 'a', 'tyrant', 'ever', 'took', 'over', 'always', 'straight', 'to', 'well', 'regulated', 'militia', 'bullshit']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['i', 'do', 'not', 'have', 'a', 'pinterest', 'so', 'you', 'know', 'i', 'am', 'not', 'gay']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",offensive
"['proof', 'of', 'racial', 'discrimination', '<user>', 'reported', 'a', 'niglet', 'arrested', 'for', 'doing', 'it', 'to', 'a', '6', 'month', 'old']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['fuck', 'you', 'and', 'your', 'horseshoe', 'faggot']","[0, 0, 0, 0, 0, 1]",offensive
"['and', 'the', 'knock', 'on', 'effects', 'are', 'a', 'bitch', 'literally', 'as', 'women', 'squander', 'their', 'prime', 'vagina', 'during', 'urban', 'careerism', 'years', 'and', 'settle', 'down', 'with', 'low', 't', 'betas', 'willing', 'to', 'overlook', 'their', 'sexual', 'histories', 'they', 'are', 'not', 'inspired', 'to', 'look', 'or', 'act', 'or', 'even', 'feel', 'feminine', 'anymore', 'for', 'those', 'low', 't', 'men', 'without', 'standards']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['actually', 'it', 'the', 'resist', 'the', 'dick', 'movement', 'it', 'does', 'not', 'have', 'anything', 'to', 'do', 'with', 'politics', 'i', 'have', 'a', 'bull', 'dyke', 'in', 'my', 'neighborhood', 'i', 'asked', 'her', 'about', 'it', 'they', 'are', 'trying', 'to', 'get', 'new', 'recruits']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['trump', 'needs', 'to', 'fire', 'that', 'kike', 'rod', 'rosenstein', 'he', 'should', 'have', 'known', 'you', 'can', 'not', 'trust', 'a', 'jew']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['approach', 'with', 'their', 'shrill', 'scrape']","[0, 0, 0, 0, 0]",normal
"['<user>', 'nah', 'hes', 'a', 'nazi', 'whos', 'inspired', 'terrorist', 'attacks', 'and', 'is', 'a', 'key', 'step', 'on', 'the', 'white', 'boy', 'radicalisation', 'chain']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['frikkin', 'jootoob', 'put', 'it', 'in', 'restricted', 'mode', 'now', 'could', 'not', 'watch', 'the', 'whole', 'show', 'live', 'and', 'the', 'spergchat', 'replay', 'is', 'now', 'gone', 'sadface', 'emoji', 'many', 'lulz', 'in', 'gariépy', 'ghetto', 'will', 'be', 'missed', 'youc', 'the', 'nuke', 'hoiyt', 'sum', 'poowah', 'diyvoyse', 'folks', 'feewings', 'and', 'got', 'poowah', 'papa', 'jf', 'reepoyted', 'ohw', 'gawd']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', '<user>', 'i', 'am', 'not', 'saying', 'india', 'is', 'against', 'the', 'refugees', 'or', 'against', 'the', 'religion', 'either', 'india', 'stand', 'is', 'we', 'will', 'accept', 'refugees', 'under', 'our', 'ability', 'to', 'serve', 'them', 'and', 'under', 'our', 'constitutional', 'law', 'there', 'no', 'place', 'in', 'our', 'society', 'for', 'infiltrator', 'and', 'illegal', 'immigrants', 'thx']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'what', 'if', 'you', 'get', 'raped', 'or', 'the', 'condom', 'breaks']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['watching', 'queer', 'as', 'folk', 'in', 'my', 'late', 'teens', 'and', 'early', '2', '0', 'i', 'wanna', 'move', 'to', 'toronto', 'and', 'party', 'all', 'the', 'damn', 'time', 'rewatching', 'queer', 'as', 'folk', 'in', 'my', 'late', '2', '0', 'and', 'early', '3', '0', 'i', 'want', 'to', 'settle', 'the', 'fuck', 'down', 'and', 'live', 'a', 'blissful', 'domestic', 'life', 'jfc']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['we', 'are', 'lucky', 'his', 'son', 'died', 'before', 'he', 'got', 'sudden', 'jihad', 'syndrome', 'the', 'ft', 'hood', 'shooter', 'killed', 'more', 'us', 'soldiers', 'than', 'moslem', 'soldiers', 'have', 'died', 'fighting', 'for', 'the', 'us', 'in', 'the', 'past', '<number>', 'years', 'that', 'is', 'easily', 'checked']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['calling', 'me', 'a', 'kike', 'is', 'not', 'an', 'insult']","[0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'chinaman', 'satanist', 'lee', 'hsien', 'loong', 'criminals', 'had', 'audible', 'talks', 'in', '<number>', 'wellington', 'circle', 'singapore', 'he', 'paced', 'back', 'and', 'forth', 'looking', 'at', 'my', 'family', 'colonial', 'style', 'bungalow', 'in', 'admiralty', 'road', 'in', 'the', 'late', '1', '9', '7', '0', 'this', 'information', 'from', 'the', 'audible', 'talks', 'a', 'few', 'years', 'ago']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['she', 'did', 'not', 'dyke', 'her', 'haircut', 'did', 'she', 'dat', 'bod', 'tho']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",offensive
"['<user>', 'you', 'act', 'like', 'you', 'do', 'not', 'live', 'next', 'to', 'a', 'house', 'full', 'of', 'white', 'boys', 'for', 'you', 'go', 'get', 'one']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'called', 'it', 'hours', 'ago', 'and', 'this', 'kike', 'rat', 'would', 'not', 'reply', 'to', 'my', 'calling', 'him', 'out', 'either', 'part', 'time', 'shit', 'tier', 'jidf', 'making', 'some', 'extra', 'shekels', 'lol', 'they', 'are', 'not', 'sending', 'their', 'best', 'yet']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['astute', 'analysis', 'an', 'internal', 'kike', 'war', 'while', 'maintaining', 'the', 'destruction', 'of', 'the', 'goyim', 'only', 'the', 'seed', 'of', 'satan', 'could', 'manage', 'such', 'a', 'task']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['i', 'wanna', 'train', 'a', 'cute', 'slut', 'to', 'please', 'me', 'teaching', 'them', 'how', 'to', 'use', 'their', 'mouth', 'properly', 'and', 'put', 'all', 'of', 'their', 'holes', 'to', 'good', 'use', 'for', 'daddy', 'if', 'they', 'are', 'extra', 'good', 'i', 'will', 'reward', 'them', 'with', 'a', 'cute', 'collar', 'with', 'a', 'bell', 'on', 'it']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['yellow', 'album', 'so', 'cold', 'niggas', 'thought', 'it', 'was', 'a', 'fluke']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['so', 'an', 'inside', 'joke', 'and', 'i', 'am', 'the', 'so', 'called', 'inept', 'pelican', 'wow', 'haha', 'go', 'have', 'your', 'silly', 'fun', 'i', 'guess', 'nigger']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'congrats', 'on', 'making', 'the', 'kike', 'hate', 'list', 'whoohoo', 'be', 'careful', 'out', 'there', 'brother']","[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",hatespeech
"['lots', 'and', 'lots', 'of', 'butthurt', 'nigger', 'minecraft', 'fans', 'over', 'that', 'i', 'had', 'no', 'idea', 'how', 'much', 'that', 'dude', 'is', 'worth', 'i', 'hope', 'anglin', 'dunned', 'him', 'for', 'bitcoin']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['bad', 'white', 'bitch', 'wanna', 'hit', 'my', 'keys', '🔥', '<user>']","[0, 1, 1, 0, 0, 0, 0, 0, 0]",offensive
"['like', 'this', 'is', 'the', 'same', 'bitch', 'who', 'refuses', 'to', 'let', 'the', 'owner', 'give', 'me', 'the', 'raise', 'and', 'position', 'he', 'promised', 'me', 'bc', 'she', 'does', 'not', 'want', 'me', 'to', 'make', 'that', 'much', 'money', 'words', 'from', 'her', 'mouth', 'same', 'bitch', 'who', 'buys', 'new', 'designer', 'bags', 'and', 'dogs', 'like', 'it', 'nothing']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
"['pls', 'dont', 'talk', 'to', 'me', 'reality', 'is', 'too', 'much', 'for', 'my', 'kike', 'infested', 'mind']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",hatespeech
"['<user>', 'god', 'blessed', 'me', 'with', 'my', 'retardeness', 'and', 'lazy', 'atitude']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",offensive
"['no', 'i', 'only', 'call', 'you', 'a', 'retard', 'because', 'you', 'are', 'a', 'retard']","[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",offensive
"['you', 'niggers', 'are', 'trash']","[0, 1, 0, 0]",offensive
"['the', 'globalist', 'eu', 'jew', 'whores', 'are', 'sneering', 'at', 'trump', 'his', 'halt', 'of', 'the', 'sand', 'nigger', 'immivasion', 'because', 'he', 'exposing', 'them', 'to', 'be', 'the', 'weaklings', 'cultural', 'marxist', 'cowards', 'they', 'are']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['i', 'know', 'sum', 'bitch', 'made', 'ass', 'niggas', 'man', '🤦', '🏾', '\u200d', '♂️', '🤦', '🏾', '\u200d', '♂️', '🤦', '🏾', '\u200d', '♂️']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['chicago', 'sanctuary', 'city', 'hahaha', 'a', 'couple', 'months', 'in', 'that', 'war', 'zone', 'ought', 'to', 'be', 'enough', 'to', 'allow', 'illegals', 'to', 'qualify', 'as', 'refugees', 'back', 'in', 'their', 'home', 'countries']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",offensive
"['do', 'dykes', 'keep', 'their', 'nails', 'short']","[0, 1, 0, 0, 0, 0]",hatespeech
"['these', 'country', 'mfs', 'never', 'start', 'on', 'time', 'land', 'of', 'the', 'free', 'home', 'of', 'the', 'niggers']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",hatespeech
"['<user>', 'nothing', 'wrong', 'with', 'being', 'gay', 'i', '’', 'll', 'just', 'leave', 'it', 'at', 'that']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['if', 'the', 'west', 'west', 'europe', 'north', 'america', 'australia', 'became', 'muslim', 'majority', 'where', 'would', 'you', 'go']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['i', 'swear', 'if', 'i', 'ever', 'die', 'someday', 'and', 'some', 'sorry', 'son', 'of', 'bitch', 'votes', 'democrat', 'on', 'my', 'behalf', 'i', 'will', 'comeback', 'and', 'slash', 'that', 'motherfucker']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",offensive
"['how', 'many', 'people', 'would', 'defend', 'the', 'jews', 'if', 'everyone', 'knew', 'there', 'is', 'a', 'plan', 'to', 'bring', 'chinese', 'troops', 'to', 'bomb', 'the', 'usa']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['im', 'moving', 'to', 'katy', 'so', 'i', 'can', 'be', 'far', 'away', 'from', 'the', 'niggers', 'as', 'possible']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",hatespeech
"['you', 'can', 'call', 'anybody', 'a', 'nazi', 'and', 'not', 'get', 'sued', 'you', 'can', 'call', 'anybody', 'a', 'racist', 'and', 'not', 'get', 'sued', 'we', 'need', 'more', 'un', 'sueable', 'anti', 'prog', 'epithets']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['britains', 'got', 'talent', 'i', 'was', 'thinking', 'trailer', 'trash', 'but', 'no', 'she', 'funny']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",offensive
"['i', 'really', 'wish', 'i', 'could', 'disagree', 'with', 'that', 'statement', 'entirely', 'but', 'it', 'tricky', 'because', 'there', 'a', 'lot', 'of', 'truth', 'there', 'however', 'you', 'are', 'probably', 'referring', 'to', 'north', 'africans', 'and', 'arabs', 'in', 'general', 'also', 'some', 'women', 'arabs', 'and', 'blacks', 'are', 'adults', 'that', 'can', 'reason', 'many', 'white', 'men', 'are', 'not', 'and', 'cannot']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<user>', 'pick', 'up', 'i', 'am', '<number>', 'man', 'i', 'am', 'not', 'a', 'troll', 'or', 'a', 'retard']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",offensive
"['do', 'not', 'put', 'your', 'gab', 'mug', 'in', 'the', 'dishwasher', 'the', 'gab', 'decal', 'is', 'not', 'dishwasher', 'safe', '😢', '<user>', '<user>', 'edit', 'only', 'the', 'black', 'gab', 'mug', 'does', 'this', 'the', 'white', 'one', 'will', 'not', 'thanks', 'for', 'the', 'replacement', 'gab', '♥']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['men', 'vs', 'women']","[0, 0, 0]",normal
"['no', 'they', 'do', 'not', 'if', 'what', 'you', 'consider', 'to', 'be', 'races', 'you', 'refer', 'to', 'negroes', 'caucasians', 'and', 'asians', 'mongoloids', 'i', 'assure', 'you', 'that', 'i', 'attend', 'churches', 'of', 'christ', 'with', 'all', 'three', 'represented']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",hatespeech
"['oo', 'i', 'had', 'no', 'idea', 'it', 'could', 'get', 'even', 'better', 'yes', 'please', 'start', 'talking', 'about', 'this', 'you', 'crazy', 'anti', 'america', 'nigger', 'mother', 'fucks']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",hatespeech
"['<user>', 'where', 'the', 'fuck', 'are', 'your', 'socks', 'white', 'boy']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['<number>', 'we', 'all', 'know', 'how', 'fear', 'and', 'security', 'take', 'over', 'common', 'sense', 'civility', 'objectivity', 'trump', 'seems', 'to', 'be', 'afraid', 'of', 'everyone', 'women', 'democrats', 'immigrants', 'homeless', 'people', 'in', 'turn', 'they', 'fear', 'him', 'to', 'the', 'point', 'where', 'threat', 'of', 'civil', 'war', 'or', 'being', 'executed', 'for', 'treason', 'are', 'believable']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['certainly', 'nobody', 'could', 'argue', 'that', 'youtube', 'is', 'censoring', 'content', 'creators', 'users', 'are', 'still', 'entirely', 'free', 'to', 'express', 'any', 'measage', 'so', 'long', 'as', 'it', 'does', 'not', 'contain', 'calls', 'for', 'violence', 'pornography', 'harassment', 'or', 'icky', 'un', 'pc', 'opinions']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",normal
"['is', 'it', 'just', 'me', 'or', 'are', 'the', 'only', 'people', 'retarded', 'enough', 'to', 'buy', 'the', 'q', 'larp', 'boomers', 'i', 'swear', 'they', 'eat', 'it', 'all', 'up', 'right', 'along', 'with', 'a', 'side', 'of', 'fox', 'news', 'and', 'pro', 'israel', 'propaganda', 'qanon']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",offensive
